,subject,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,n_items,dataset
112,1,21,1443.0,0.0,8.0,10.0,,0.3683319091796875,0.6316680908203125,,2,krajbich2010
114,1,23,1190.0,1.0,2.0,9.0,,0.3158995807170868,0.6841003894805908,,2,krajbich2010
116,1,25,1428.0,1.0,8.0,10.0,,0.4130434691905975,0.5869565010070801,,2,krajbich2010
118,1,27,1511.0,0.0,2.0,0.0,,0.4181002378463745,0.5818997621536255,,2,krajbich2010
120,1,29,2185.0,1.0,10.0,10.0,,0.4315245449542999,0.5684754252433777,,2,krajbich2010
122,1,31,2734.0,1.0,1.0,3.0,,0.5880370736122131,0.4119629263877869,,2,krajbich2010
124,1,33,2593.0,1.0,8.0,5.0,,0.19634509086608887,0.8036549091339111,,2,krajbich2010
126,1,35,1338.0,0.0,9.0,5.0,,0.5181347131729126,0.4818652868270874,,2,krajbich2010
128,1,37,4602.0,0.0,0.0,7.0,,0.7834425568580627,0.21655741333961487,,2,krajbich2010
130,1,39,2185.0,0.0,8.0,8.0,,0.4488229155540466,0.5511770844459534,,2,krajbich2010
132,1,41,1603.0,1.0,4.0,8.0,,0.22513088583946228,0.7748690843582153,,2,krajbich2010
134,1,43,1031.0,0.0,5.0,8.0,,0.8566308021545409,0.1433691829442978,,2,krajbich2010
136,1,45,1327.0,0.0,4.0,10.0,,0.6783154010772705,0.3216845989227295,,2,krajbich2010
138,1,47,1016.0,1.0,7.0,9.0,,0.5006257891654968,0.4993742108345032,,2,krajbich2010
140,1,49,1037.0,0.0,5.0,8.0,,0.5325581431388855,0.4674418568611145,,2,krajbich2010
142,1,51,2179.0,1.0,2.0,7.0,,0.5908634662628174,0.4091365337371826,,2,krajbich2010
144,1,53,1193.0,1.0,9.0,10.0,,0.3965863585472107,0.6034136414527893,,2,krajbich2010
146,1,55,1311.0,0.0,2.0,0.0,,0.5787079334259033,0.4212920963764191,,2,krajbich2010
148,1,57,1141.0,0.0,0.0,3.0,,0.4470588266849518,0.5529412031173706,,2,krajbich2010
150,1,59,1466.0,0.0,2.0,5.0,,0.3987889289855957,0.6012110710144043,,2,krajbich2010
152,1,61,1217.0,0.0,4.0,10.0,,0.4021390378475189,0.5978609919548035,,2,krajbich2010
154,1,63,1325.0,0.0,10.0,9.0,,0.3295154273509979,0.6704846024513245,,2,krajbich2010
156,1,65,2164.0,0.0,8.0,1.0,,0.3705219924449921,0.6294779777526855,,2,krajbich2010
158,1,67,2449.0,1.0,0.0,5.0,,0.3889642655849457,0.6110357046127319,,2,krajbich2010
160,1,69,2380.0,0.0,7.0,4.0,,0.4127219021320343,0.5872781276702881,,2,krajbich2010
162,1,71,1166.0,0.0,8.0,2.0,,0.3231106102466583,0.6768893599510193,,2,krajbich2010
164,1,73,1877.0,1.0,2.0,1.0,,0.2879330813884735,0.7120668888092041,,2,krajbich2010
166,1,75,1456.0,0.0,8.0,8.0,,0.7160804271697998,0.2839196026325226,,2,krajbich2010
168,1,77,743.0,0.0,9.0,10.0,,0.7335766553878784,0.2664233446121216,,2,krajbich2010
170,1,79,878.0,1.0,2.0,9.0,,0.4582524299621582,0.5417475700378418,,2,krajbich2010
172,1,81,1535.0,0.0,9.0,6.0,,0.5645161271095276,0.4354838728904724,,2,krajbich2010
174,1,83,1103.0,1.0,10.0,5.0,,0.27723971009254456,0.7227603197097778,,2,krajbich2010
176,1,85,1008.0,0.0,8.0,2.0,,0.36614173650741577,0.6338582634925842,,2,krajbich2010
178,1,87,1477.0,0.0,0.0,0.0,,0.733977198600769,0.2660228312015533,,2,krajbich2010
180,1,89,1690.0,0.0,8.0,4.0,,0.4227769076824188,0.5772230625152588,,2,krajbich2010
182,1,91,1015.0,1.0,4.0,5.0,,0.13550135493278506,0.8644986152648926,,2,krajbich2010
184,1,93,1113.0,1.0,8.0,9.0,,0.24526198208332065,0.7547380328178406,,2,krajbich2010
186,1,95,1332.0,1.0,4.0,2.0,,0.1071428582072258,0.8928571343421936,,2,krajbich2010
188,1,97,1106.0,0.0,10.0,8.0,,0.4040968418121338,0.5959031581878662,,2,krajbich2010
191,2,1,2885.0,0.0,2.0,0.0,,0.7330524921417236,0.26694753766059875,,2,krajbich2010
193,2,3,2175.0,0.0,1.0,0.0,,0.6461055874824524,0.3538944125175476,,2,krajbich2010
195,2,5,4507.0,0.0,4.0,1.0,,0.3855162560939789,0.6144837737083435,,2,krajbich2010
197,2,7,4549.0,1.0,1.0,3.0,,0.8281288146972656,0.171871155500412,,2,krajbich2010
199,2,9,2127.0,1.0,0.0,2.0,,0.18643133342266088,0.813568651676178,,2,krajbich2010
201,2,11,9526.0,0.0,4.0,2.0,,0.23856279253959656,0.7614371776580809,,2,krajbich2010
203,2,13,5808.0,0.0,2.0,0.0,,0.8182734847068787,0.1817265003919601,,2,krajbich2010
205,2,15,4429.0,0.0,5.0,2.0,,0.6363418102264404,0.3636581897735596,,2,krajbich2010
207,2,17,9120.0,1.0,2.0,1.0,,0.4405935108661652,0.5594065189361572,,2,krajbich2010
209,2,19,3390.0,0.0,2.0,0.0,,0.2323759794235229,0.767624020576477,,2,krajbich2010
211,2,21,3426.0,1.0,2.0,3.0,,0.5894466042518616,0.4105533957481384,,2,krajbich2010
213,2,23,4690.0,0.0,3.0,0.0,,0.3530079424381256,0.646992027759552,,2,krajbich2010
215,2,25,3098.0,0.0,4.0,1.0,,0.4444444477558136,0.5555555820465088,,2,krajbich2010
217,2,27,8430.0,0.0,3.0,0.0,,0.5367113351821899,0.4632886350154877,,2,krajbich2010
219,2,29,8306.0,1.0,0.0,0.0,,0.2226775884628296,0.7773224115371704,,2,krajbich2010
221,2,31,5998.0,1.0,2.0,1.0,,0.4898247122764587,0.5101752877235413,,2,krajbich2010
223,2,33,5164.0,0.0,1.0,4.0,,0.7287136912345886,0.27128633856773376,,2,krajbich2010
225,2,35,5284.0,0.0,0.0,0.0,,0.8524988889694214,0.1475011110305786,,2,krajbich2010
227,2,37,10207.0,0.0,4.0,3.0,,0.6727937459945679,0.3272062838077545,,2,krajbich2010
229,2,39,3539.0,0.0,2.0,0.0,,0.6119012236595154,0.388098806142807,,2,krajbich2010
231,2,41,5702.0,0.0,6.0,2.0,,0.4519230723381042,0.5480769276618958,,2,krajbich2010
233,2,43,3327.0,1.0,2.0,2.0,,0.7961130738258362,0.20388692617416385,,2,krajbich2010
235,2,45,5344.0,0.0,1.0,0.0,,0.6716101765632629,0.32838982343673706,,2,krajbich2010
237,2,47,1832.0,1.0,1.0,3.0,,0.4253200590610504,0.574679970741272,,2,krajbich2010
239,2,49,12079.0,0.0,5.0,3.0,,0.4849023222923279,0.5150976777076721,,2,krajbich2010
241,2,51,1590.0,1.0,2.0,4.0,,0.4779356718063354,0.5220643281936646,,2,krajbich2010
243,2,53,2150.0,1.0,2.0,5.0,,0.3234501481056213,0.6765498518943787,,2,krajbich2010
245,2,55,5442.0,1.0,2.0,2.0,,0.5617104172706604,0.4382896125316621,,2,krajbich2010
247,2,57,2108.0,0.0,1.0,0.0,,0.6700177192687988,0.3299822509288788,,2,krajbich2010
249,2,59,1882.0,0.0,4.0,0.0,,0.3096234202384949,0.6903765797615051,,2,krajbich2010
251,2,61,943.0,0.0,0.0,0.0,,0.7932053208351135,0.20679467916488647,,2,krajbich2010
253,2,63,2355.0,0.0,2.0,0.0,,0.3008130192756653,0.6991869807243347,,2,krajbich2010
255,2,65,1917.0,1.0,2.0,0.0,,0.5053066015243529,0.494693398475647,,2,krajbich2010
257,2,67,2398.0,0.0,2.0,0.0,,0.6883057355880737,0.31169429421424866,,2,krajbich2010
259,2,69,1596.0,1.0,0.0,3.0,,0.383198231458664,0.6168017983436584,,2,krajbich2010
261,2,71,2173.0,1.0,2.0,0.0,,0.7110987305641174,0.28890126943588257,,2,krajbich2010
263,2,73,2103.0,1.0,1.0,3.0,,0.5995773673057556,0.4004226028919221,,2,krajbich2010
265,2,75,3629.0,0.0,5.0,6.0,,0.38468387722969055,0.6153160929679871,,2,krajbich2010
267,2,77,3903.0,0.0,1.0,1.0,,0.5782729983329773,0.4217270314693451,,2,krajbich2010
269,2,79,1024.0,1.0,1.0,4.0,,0.5409207344055176,0.4590792953968048,,2,krajbich2010
271,2,81,5201.0,1.0,4.0,0.0,,0.708368182182312,0.2916317880153656,,2,krajbich2010
273,2,83,8584.0,1.0,2.0,3.0,,0.518599808216095,0.4814001619815826,,2,krajbich2010
275,2,85,2029.0,0.0,4.0,2.0,,0.455406904220581,0.5445930957794191,,2,krajbich2010
277,2,87,1823.0,0.0,1.0,0.0,,0.337890625,0.662109375,,2,krajbich2010
279,2,89,2863.0,0.0,5.0,1.0,,0.6665399074554443,0.3334600627422333,,2,krajbich2010
281,2,91,2210.0,0.0,4.0,3.0,,0.6326844096183777,0.3673155605792999,,2,krajbich2010
283,2,93,1683.0,0.0,2.0,0.0,,0.6806136965751648,0.3193863332271576,,2,krajbich2010
285,2,95,1498.0,1.0,5.0,6.0,,0.3432601988315582,0.6567398309707642,,2,krajbich2010
287,2,97,5841.0,0.0,2.0,1.0,,0.5395182371139526,0.4604817926883698,,2,krajbich2010
289,2,99,2046.0,0.0,0.0,2.0,,0.472347617149353,0.5276523828506471,,2,krajbich2010
291,3,1,2158.0,1.0,2.0,4.0,,0.0,1.0,,2,krajbich2010
293,3,3,1243.0,0.0,5.0,1.0,,1.0,0.0,,2,krajbich2010
295,3,5,2355.0,0.0,4.0,2.0,,0.229545459151268,0.7704545259475708,,2,krajbich2010
297,3,7,2968.0,0.0,0.0,1.0,,0.0,1.0,,2,krajbich2010
299,3,9,4742.0,0.0,2.0,0.0,,0.4246461391448975,0.5753538608551025,,2,krajbich2010
301,3,11,2062.0,1.0,0.0,4.0,,0.16404494643211365,0.8359550833702087,,2,krajbich2010
303,3,13,1340.0,1.0,2.0,3.0,,0.7478813529014587,0.2521186470985413,,2,krajbich2010
305,3,15,1237.0,1.0,2.0,6.0,,0.0,1.0,,2,krajbich2010
307,3,17,1489.0,1.0,3.0,2.0,,0.2663755416870117,0.7336244583129883,,2,krajbich2010
309,3,19,2406.0,0.0,2.0,0.0,,0.4001182019710541,0.5998817682266235,,2,krajbich2010
311,3,21,1349.0,0.0,3.0,2.0,,0.6466535329818726,0.35334646701812744,,2,krajbich2010
313,3,23,1917.0,1.0,1.0,0.0,,0.0,1.0,,2,krajbich2010
315,3,25,2353.0,0.0,1.0,3.0,,0.07479431480169296,0.9252057075500488,,2,krajbich2010
317,3,27,1493.0,0.0,5.0,3.0,,0.5238853693008423,0.4761146605014801,,2,krajbich2010
319,3,29,1902.0,1.0,1.0,3.0,,0.0,1.0,,2,krajbich2010
321,3,31,2024.0,0.0,3.0,3.0,,0.2770719826221466,0.7229279875755309,,2,krajbich2010
323,3,33,2772.0,0.0,3.0,1.0,,0.0113960113376379,0.9886040091514589,,2,krajbich2010
325,3,35,2088.0,0.0,1.0,4.0,,0.027936963364481933,0.9720630645751952,,2,krajbich2010
327,3,37,1656.0,1.0,2.0,1.0,,0.3923303782939911,0.6076695919036865,,2,krajbich2010
329,3,39,1293.0,1.0,0.0,2.0,,0.0,1.0,,2,krajbich2010
331,3,41,1420.0,0.0,5.0,0.0,,0.630797803401947,0.36920222640037537,,2,krajbich2010
333,3,43,1535.0,0.0,3.0,0.0,,0.0,1.0,,2,krajbich2010
335,3,45,2245.0,0.0,0.0,0.0,,0.2152428776025772,0.7847571372985841,,2,krajbich2010
337,3,47,2104.0,0.0,2.0,1.0,,0.0,1.0,,2,krajbich2010
339,3,49,1298.0,1.0,0.0,1.0,,0.0,1.0,,2,krajbich2010
341,3,51,2205.0,1.0,1.0,3.0,,0.015420200303196909,0.9845798015594482,,2,krajbich2010
343,3,53,1324.0,1.0,0.0,0.0,,0.0,1.0,,2,krajbich2010
345,3,55,2291.0,1.0,2.0,3.0,,0.0,1.0,,2,krajbich2010
347,3,57,2180.0,1.0,3.0,2.0,,0.0,1.0,,2,krajbich2010
349,3,59,2085.0,0.0,3.0,3.0,,0.08425532281398773,0.9157446622848512,,2,krajbich2010
351,3,61,1465.0,0.0,4.0,0.0,,0.0,1.0,,2,krajbich2010
353,3,63,1778.0,0.0,3.0,4.0,,0.0,1.0,,2,krajbich2010
355,3,65,1592.0,0.0,1.0,4.0,,0.0,1.0,,2,krajbich2010
357,3,67,1656.0,0.0,0.0,3.0,,0.0,1.0,,2,krajbich2010
359,3,69,1322.0,1.0,1.0,5.0,,0.0,1.0,,2,krajbich2010
361,3,71,1247.0,1.0,5.0,2.0,,0.0,1.0,,2,krajbich2010
363,3,73,1789.0,0.0,5.0,3.0,,0.33005619049072266,0.6699438095092773,,2,krajbich2010
365,3,75,1578.0,1.0,0.0,0.0,,0.7797872424125671,0.22021277248859408,,2,krajbich2010
367,3,77,1442.0,0.0,2.0,0.0,,0.0,1.0,,2,krajbich2010
369,3,79,2116.0,0.0,2.0,2.0,,0.0,1.0,,2,krajbich2010
371,3,81,2174.0,1.0,2.0,0.0,,0.0,1.0,,2,krajbich2010
373,3,83,2759.0,1.0,0.0,4.0,,0.0,1.0,,2,krajbich2010
375,3,85,1045.0,1.0,2.0,5.0,,0.0,1.0,,2,krajbich2010
377,3,87,1819.0,1.0,3.0,0.0,,0.0,1.0,,2,krajbich2010
379,4,1,1038.0,1.0,7.0,8.0,,0.29674795269966125,0.7032520174980164,,2,krajbich2010
381,4,3,1788.0,1.0,0.0,2.0,,0.622985303401947,0.37701472640037537,,2,krajbich2010
383,4,5,2868.0,1.0,5.0,2.0,,0.5902805328369141,0.4097194671630859,,2,krajbich2010
385,4,7,2446.0,1.0,5.0,6.0,,0.6886608004570007,0.3113391995429993,,2,krajbich2010
387,4,9,3669.0,1.0,5.0,6.0,,0.44688534736633295,0.553114652633667,,2,krajbich2010
389,4,11,1181.0,0.0,10.0,6.0,,0.4660734236240387,0.5339266061782837,,2,krajbich2010
391,4,13,850.0,1.0,9.0,10.0,,0.598499059677124,0.401500940322876,,2,krajbich2010
393,4,15,996.0,0.0,6.0,3.0,,0.33931034803390503,0.660689651966095,,2,krajbich2010
395,4,17,4718.0,1.0,3.0,5.0,,0.5577716827392578,0.4422283470630646,,2,krajbich2010
397,4,19,5891.0,0.0,5.0,2.0,,0.5438341498374939,0.4561658799648285,,2,krajbich2010
399,4,21,1172.0,0.0,9.0,6.0,,0.27251994609832764,0.7274800539016724,,2,krajbich2010
401,4,23,1359.0,1.0,9.0,7.0,,0.5295275449752808,0.4704724550247192,,2,krajbich2010
403,4,25,1598.0,0.0,6.0,3.0,,0.6984127163887024,0.30158731341362,,2,krajbich2010
405,4,27,1794.0,0.0,6.0,3.0,,0.271341472864151,0.7286585569381714,,2,krajbich2010
407,4,29,692.0,1.0,6.0,8.0,,0.4638069570064545,0.5361930131912231,,2,krajbich2010
409,4,31,1289.0,0.0,2.0,3.0,,0.34068137407302856,0.6593186259269714,,2,krajbich2010
411,4,33,2231.0,1.0,6.0,9.0,,0.4807897508144378,0.5192102193832397,,2,krajbich2010
413,4,35,2352.0,0.0,5.0,5.0,,0.6341948509216309,0.3658051788806915,,2,krajbich2010
415,4,37,1363.0,0.0,3.0,2.0,,0.4426229596138001,0.5573770403862,,2,krajbich2010
417,4,39,2748.0,1.0,3.0,6.0,,0.3061673939228058,0.6938325762748718,,2,krajbich2010
419,4,41,2960.0,1.0,5.0,5.0,,0.2384259253740311,0.7615740895271301,,2,krajbich2010
421,4,43,1716.0,0.0,10.0,7.0,,0.7291666865348816,0.2708333432674408,,2,krajbich2010
423,4,45,2453.0,1.0,5.0,6.0,,0.3377128839492798,0.6622871160507202,,2,krajbich2010
425,4,47,1465.0,0.0,6.0,5.0,,0.281632661819458,0.718367338180542,,2,krajbich2010
427,4,49,1379.0,1.0,6.0,2.0,,0.482828289270401,0.5171717405319214,,2,krajbich2010
429,4,51,1277.0,1.0,5.0,3.0,,0.6625835299491882,0.33741647005081177,,2,krajbich2010
431,4,53,2134.0,1.0,8.0,8.0,,0.3478735089302063,0.6521264910697937,,2,krajbich2010
433,4,55,1213.0,0.0,8.0,5.0,,0.7558528184890747,0.2441471517086029,,2,krajbich2010
435,4,57,1347.0,1.0,3.0,7.0,,0.6848364472389221,0.3151635229587555,,2,krajbich2010
437,4,59,1266.0,0.0,9.0,8.0,,0.5245509147644043,0.4754491150379181,,2,krajbich2010
439,4,61,1396.0,1.0,9.0,6.0,,0.3965844511985779,0.6034155488014221,,2,krajbich2010
441,4,63,1687.0,1.0,6.0,9.0,,0.3193863332271576,0.6806136965751648,,2,krajbich2010
443,4,65,1629.0,1.0,6.0,7.0,,0.12470588088035585,0.8752940893173218,,2,krajbich2010
445,4,67,1516.0,1.0,8.0,10.0,,0.3615916967391968,0.6384083032608032,,2,krajbich2010
447,4,69,1793.0,1.0,7.0,6.0,,0.6471036672592163,0.3528963327407837,,2,krajbich2010
449,4,71,1247.0,1.0,0.0,2.0,,0.5349087119102478,0.4650912880897522,,2,krajbich2010
451,4,73,1575.0,0.0,9.0,6.0,,0.19910010695457456,0.800899863243103,,2,krajbich2010
453,4,75,1002.0,1.0,8.0,10.0,,0.35704323649406433,0.6429567933082581,,2,krajbich2010
455,4,77,2490.0,1.0,3.0,6.0,,0.5476077795028687,0.4523922204971314,,2,krajbich2010
457,4,79,1006.0,1.0,5.0,10.0,,0.4667721390724182,0.5332278609275818,,2,krajbich2010
459,4,81,5621.0,1.0,6.0,10.0,,0.3437809944152832,0.6562190055847168,,2,krajbich2010
461,4,83,1385.0,0.0,7.0,6.0,,0.295324981212616,0.704675018787384,,2,krajbich2010
463,4,85,1749.0,0.0,5.0,0.0,,0.24709302186965945,0.7529069781303406,,2,krajbich2010
465,4,87,1277.0,1.0,7.0,9.0,,0.18907104432582847,0.8109289407730103,,2,krajbich2010
467,4,89,1094.0,1.0,9.0,10.0,,0.4980185031890869,0.5019814968109131,,2,krajbich2010
469,4,91,1163.0,1.0,6.0,6.0,,0.406326025724411,0.5936739444732666,,2,krajbich2010
471,4,93,1450.0,1.0,9.0,9.0,,0.17533040046691895,0.8246695995330809,,2,krajbich2010
473,4,95,1056.0,1.0,6.0,6.0,,0.3234859704971313,0.6765140295028687,,2,krajbich2010
475,4,97,815.0,0.0,9.0,5.0,,1.0,0.0,,2,krajbich2010
477,4,99,2128.0,0.0,4.0,5.0,,0.5935860276222229,0.4064140021800995,,2,krajbich2010
479,5,1,1660.0,0.0,0.0,1.0,,0.3527675271034241,0.6472324728965759,,2,krajbich2010
481,5,3,1056.0,0.0,0.0,0.0,,0.5878877639770508,0.4121122658252716,,2,krajbich2010
483,5,5,1107.0,1.0,2.0,4.0,,0.3772321343421936,0.6227678656578064,,2,krajbich2010
485,5,7,756.0,0.0,1.0,4.0,,0.4290843904018402,0.5709156394004822,,2,krajbich2010
487,5,9,998.0,0.0,5.0,5.0,,0.2961956560611725,0.7038043737411499,,2,krajbich2010
489,5,11,1376.0,1.0,2.0,1.0,,0.4256367981433869,0.5743631720542908,,2,krajbich2010
491,5,13,1161.0,0.0,4.0,2.0,,0.4154488444328308,0.5845511555671692,,2,krajbich2010
493,5,15,947.0,0.0,5.0,2.0,,0.5557620525360107,0.4442379176616669,,2,krajbich2010
495,5,17,1166.0,0.0,4.0,0.0,,0.4790794849395752,0.5209205150604248,,2,krajbich2010
497,5,19,1053.0,1.0,0.0,0.0,,0.395565927028656,0.604434072971344,,2,krajbich2010
499,5,21,1746.0,0.0,5.0,6.0,,0.5128534436225891,0.4871465265750885,,2,krajbich2010
501,5,23,1133.0,1.0,0.0,3.0,,0.4357298612594605,0.5642701387405396,,2,krajbich2010
503,5,25,1112.0,0.0,5.0,2.0,,0.4126637578010559,0.5873362421989441,,2,krajbich2010
505,5,27,1362.0,0.0,2.0,5.0,,0.5264084339141846,0.473591536283493,,2,krajbich2010
507,5,29,1153.0,0.0,0.0,2.0,,0.2977588176727295,0.7022411823272705,,2,krajbich2010
509,5,31,1178.0,0.0,1.0,2.0,,0.5407949686050415,0.4592050313949585,,2,krajbich2010
511,5,33,1647.0,1.0,2.0,2.0,,0.4234297871589661,0.5765702128410339,,2,krajbich2010
513,5,35,1246.0,1.0,2.0,2.0,,0.3589015007019043,0.6410984992980957,,2,krajbich2010
515,5,37,992.0,0.0,2.0,2.0,,0.5128534436225891,0.4871465265750885,,2,krajbich2010
517,5,39,1453.0,0.0,2.0,0.0,,0.4680162072181702,0.5319837927818298,,2,krajbich2010
519,5,41,1494.0,0.0,3.0,2.0,,0.4031690061092377,0.5968309640884399,,2,krajbich2010
521,5,43,1400.0,1.0,2.0,2.0,,0.3440065681934357,0.6559934616088867,,2,krajbich2010
523,5,45,1399.0,0.0,0.0,0.0,,0.33872270584106445,0.6612772941589355,,2,krajbich2010
525,5,47,1062.0,0.0,2.0,4.0,,0.4888628423213959,0.5111371874809265,,2,krajbich2010
527,5,49,1073.0,0.0,2.0,4.0,,0.3381995260715485,0.6618005037307739,,2,krajbich2010
529,5,51,1006.0,0.0,3.0,2.0,,0.7693299055099487,0.2306701093912125,,2,krajbich2010
531,5,53,1166.0,1.0,2.0,4.0,,0.35423198342323303,0.6457680463790894,,2,krajbich2010
533,5,55,1034.0,1.0,2.0,3.0,,0.4505363404750824,0.5494636297225952,,2,krajbich2010
535,5,57,933.0,1.0,2.0,2.0,,0.4593496024608612,0.5406504273414612,,2,krajbich2010
537,5,59,1001.0,1.0,0.0,2.0,,0.5343383550643921,0.4656616449356079,,2,krajbich2010
539,5,61,1169.0,0.0,0.0,0.0,,0.3953974843025208,0.6046025156974792,,2,krajbich2010
541,5,63,1132.0,0.0,1.0,0.0,,0.5100446343421936,0.4899553656578064,,2,krajbich2010
543,5,65,1025.0,0.0,3.0,1.0,,0.3514246940612793,0.6485753059387207,,2,krajbich2010
545,5,67,1282.0,0.0,1.0,0.0,,0.553903341293335,0.4460966587066649,,2,krajbich2010
547,5,69,1224.0,0.0,2.0,3.0,,0.3336614072322845,0.6663385629653931,,2,krajbich2010
