"","trial","rating1","rating2","rating3","roirating","rt","chosenrating","subject","eventduration","fix_num","choice1","choice2","choice3","leftroi","middleroi","rightroi","num_fixations","rev_fix_num"
"24",7,3,1,7,1,1482,7,1,178,1,0,0,1,0,1,0,5,5
"25",7,3,1,7,7,1482,7,1,257,2,0,0,1,0,0,1,5,4
"26",7,3,1,7,3,1482,7,1,199,3,0,0,1,1,0,0,5,3
"27",7,3,1,7,1,1482,7,1,360,4,0,0,1,0,1,0,5,2
"28",7,3,1,7,7,1482,7,1,120,5,0,0,1,0,0,1,5,1
"29",8,1,3,7,7,1419,7,1,160,1,0,0,1,0,0,1,4,4
"30",8,1,3,7,3,1419,7,1,258,2,0,0,1,0,1,0,4,3
"31",8,1,3,7,1,1419,7,1,140,3,0,0,1,1,0,0,4,2
"32",8,1,3,7,7,1419,7,1,200,4,0,0,1,0,0,1,4,1
"33",9,1,2,7,7,1393,7,1,298,1,0,0,1,0,0,1,4,4
"34",9,1,2,7,1,1393,7,1,179,2,0,0,1,1,0,0,4,3
"35",9,1,2,7,2,1393,7,1,180,3,0,0,1,0,1,0,4,2
"36",9,1,2,7,7,1393,7,1,180,4,0,0,1,0,0,1,4,1
"37",10,1,2,3,2,1450,2,1,179,1,0,1,0,0,1,0,4,4
"38",10,1,2,3,1,1450,2,1,98,2,0,1,0,1,0,0,4,3
"39",10,1,2,3,3,1450,2,1,139,3,0,1,0,0,0,1,4,2
"40",10,1,2,3,2,1450,2,1,558,4,0,1,0,0,1,0,4,1
"41",11,3,1,6,1,1341,6,1,320,1,0,0,1,0,1,0,5,5
"42",11,3,1,6,6,1341,6,1,139,2,0,0,1,0,0,1,5,4
"43",11,3,1,6,3,1341,6,1,140,3,0,0,1,1,0,0,5,3
"44",11,3,1,6,1,1341,6,1,278,4,0,0,1,0,1,0,5,2
"45",11,3,1,6,6,1341,6,1,121,5,0,0,1,0,0,1,5,1
"46",12,3,7,1,1,1189,7,1,179,1,0,1,0,0,0,1,4,4
"47",12,3,7,1,3,1189,7,1,258,2,0,1,0,1,0,0,4,3
"48",12,3,7,1,1,1189,7,1,199,3,0,1,0,0,0,1,4,2
"49",12,3,7,1,7,1189,7,1,239,4,0,1,0,0,1,0,4,1
"50",13,1,6,2,2,1274,6,1,179,1,0,1,0,0,0,1,3,3
"51",13,1,6,2,6,1274,6,1,279,2,0,1,0,0,1,0,3,2
"52",13,1,6,2,1,1274,6,1,259,3,0,1,0,1,0,0,3,1
"53",14,2,3,1,1,1437,3,1,338,1,0,1,0,0,0,1,4,4
"54",14,2,3,1,3,1437,3,1,159,2,0,1,0,0,1,0,4,3
"55",14,2,3,1,2,1437,3,1,399,3,0,1,0,1,0,0,4,2
"56",14,2,3,1,1,1437,3,1,261,4,0,1,0,0,0,1,4,1
"57",15,1,3,6,3,864,3,1,258,1,0,1,0,0,1,0,2,2
"58",15,1,3,6,6,864,3,1,238,2,0,1,0,0,0,1,2,1
"59",16,1,3,6,3,950,6,1,119,1,0,0,1,0,1,0,3,3
"60",16,1,3,6,6,950,6,1,218,2,0,0,1,0,0,1,3,2
"61",16,1,3,6,3,950,6,1,339,3,0,0,1,0,1,0,3,1
"62",17,3,1,6,6,1183,6,1,179,1,0,0,1,0,0,1,5,5
"63",17,3,1,6,1,1183,6,1,179,2,0,0,1,0,1,0,5,4
"64",17,3,1,6,6,1183,6,1,180,3,0,0,1,0,0,1,5,3
"65",17,3,1,6,3,1183,6,1,239,4,0,0,1,1,0,0,5,2
"66",17,3,1,6,6,1183,6,1,60,5,0,0,1,0,0,1,5,1
"67",18,3,1,2,3,1408,3,1,119,1,1,0,0,1,0,0,4,4
"68",18,3,1,2,2,1408,3,1,159,2,1,0,0,0,0,1,4,3
"69",18,3,1,2,1,1408,3,1,199,3,1,0,0,0,1,0,4,2
"70",18,3,1,2,3,1408,3,1,283,4,1,0,0,1,0,0,4,1
"71",19,3,6,1,1,1047,3,1,199,1,1,0,0,0,0,1,5,5
"72",19,3,6,1,3,1047,3,1,159,2,1,0,0,1,0,0,5,4
"73",19,3,6,1,1,1047,3,1,179,3,1,0,0,0,0,1,5,3
"74",19,3,6,1,6,1047,3,1,140,4,1,0,0,0,1,0,5,2
"75",19,3,6,1,3,1047,3,1,20,5,1,0,0,1,0,0,5,1
"76",20,2,1,3,1,993,3,1,159,1,0,0,1,0,1,0,4,4
"77",20,2,1,3,3,993,3,1,199,2,0,0,1,0,0,1,4,3
"78",20,2,1,3,2,993,3,1,258,3,0,0,1,1,0,0,4,2
"79",20,2,1,3,1,993,3,1,100,4,0,0,1,0,1,0,4,1
"80",21,7,3,1,7,1077,7,1,20,1,1,0,0,1,0,0,3,3
"81",21,7,3,1,3,1077,7,1,239,2,1,0,0,0,1,0,3,2
"82",21,7,3,1,7,1077,7,1,379,3,1,0,0,1,0,0,3,1
"83",22,1,7,3,7,1084,7,1,159,1,0,1,0,0,1,0,4,4
"84",22,1,7,3,3,1084,7,1,219,2,0,1,0,0,0,1,4,3
"85",22,1,7,3,1,1084,7,1,249,3,0,1,0,1,0,0,4,2
"86",22,1,7,3,7,1084,7,1,158,4,0,1,0,0,1,0,4,1
"87",23,3,1,2,2,1854,3,1,217,1,1,0,0,0,0,1,5,5
"88",23,3,1,2,1,1854,3,1,219,2,1,0,0,0,1,0,5,4
"89",23,3,1,2,3,1854,3,1,219,3,1,0,0,1,0,0,5,3
"90",23,3,1,2,2,1854,3,1,458,4,1,0,0,0,0,1,5,2
"91",23,3,1,2,3,1854,3,1,180,5,1,0,0,1,0,0,5,1
"92",24,3,7,6,7,1446,6,1,219,1,0,0,1,0,1,0,4,4
"93",24,3,7,6,6,1446,6,1,218,2,0,0,1,0,0,1,4,3
"94",24,3,7,6,3,1446,6,1,239,3,0,0,1,1,0,0,4,2
"95",24,3,7,6,7,1446,6,1,378,4,0,0,1,0,1,0,4,1
"96",25,2,1,3,3,1624,3,1,299,1,0,0,1,0,0,1,3,3
"97",25,2,1,3,2,1624,3,1,339,2,0,0,1,1,0,0,3,2
"98",25,2,1,3,3,1624,3,1,538,3,0,0,1,0,0,1,3,1
"99",26,3,1,7,1,1302,7,1,119,1,0,0,1,0,1,0,5,5
"100",26,3,1,7,7,1302,7,1,239,2,0,0,1,0,0,1,5,4
"101",26,3,1,7,3,1302,7,1,159,3,0,0,1,1,0,0,5,3
"102",26,3,1,7,1,1302,7,1,319,4,0,0,1,0,1,0,5,2
"103",26,3,1,7,7,1302,7,1,121,5,0,0,1,0,0,1,5,1
"104",27,6,2,3,2,1146,6,1,159,1,1,0,0,0,1,0,4,4
"105",27,6,2,3,3,1146,6,1,158,2,1,0,0,0,0,1,4,3
"106",27,6,2,3,6,1146,6,1,458,3,1,0,0,1,0,0,4,2
"107",27,6,2,3,3,1146,6,1,39,4,1,0,0,0,0,1,4,1
"108",28,6,1,7,1,1573,7,1,79,1,0,0,1,0,1,0,7,7
"109",28,6,1,7,7,1573,7,1,258,2,0,0,1,0,0,1,7,6
"110",28,6,1,7,1,1573,7,1,139,3,0,0,1,0,1,0,7,5
"111",28,6,1,7,6,1573,7,1,120,4,0,0,1,1,0,0,7,4
"112",28,6,1,7,1,1573,7,1,281,5,0,0,1,0,1,0,7,3
"113",28,6,1,7,6,1573,7,1,120,6,0,0,1,1,0,0,7,2
"114",28,6,1,7,7,1573,7,1,100,7,0,0,1,0,0,1,7,1
"115",29,3,2,1,1,1425,2,1,199,1,0,1,0,0,0,1,5,5
"116",29,3,2,1,3,1425,2,1,299,2,0,1,0,1,0,0,5,4
"117",29,3,2,1,2,1425,2,1,219,3,0,1,0,0,1,0,5,3
"118",29,3,2,1,1,1425,2,1,159,4,0,1,0,0,0,1,5,2
"119",29,3,2,1,2,1425,2,1,139,5,0,1,0,0,1,0,5,1
"120",30,3,7,1,1,1467,7,1,100,1,0,1,0,0,0,1,4,4
"121",30,3,7,1,3,1467,7,1,199,2,0,1,0,1,0,0,4,3
"122",30,3,7,1,7,1467,7,1,239,3,0,1,0,0,1,0,4,2
"123",30,3,7,1,1,1467,7,1,399,4,0,1,0,0,0,1,4,1
"124",31,6,1,3,6,1314,6,1,159,1,1,0,0,1,0,0,5,5
"125",31,6,1,3,1,1314,6,1,159,2,1,0,0,0,1,0,5,4
"126",31,6,1,3,6,1314,6,1,240,3,1,0,0,1,0,0,5,3
"127",31,6,1,3,1,1314,6,1,220,4,1,0,0,0,1,0,5,2
"128",31,6,1,3,3,1314,6,1,159,5,1,0,0,0,0,1,5,1
"129",32,2,7,1,7,961,7,1,179,1,0,1,0,0,1,0,3,3
"130",32,2,7,1,1,961,7,1,180,2,0,1,0,0,0,1,3,2
"131",32,2,7,1,2,961,7,1,80,3,0,1,0,1,0,0,3,1
"132",33,3,2,1,2,1350,2,1,139,1,0,1,0,0,1,0,4,4
"133",33,3,2,1,1,1350,2,1,179,2,0,1,0,0,0,1,4,3
"134",33,3,2,1,3,1350,2,1,318,3,0,1,0,1,0,0,4,2
"135",33,3,2,1,2,1350,2,1,180,4,0,1,0,0,1,0,4,1
"136",34,3,2,1,2,1547,3,1,79,1,1,0,0,0,1,0,5,5
"137",34,3,2,1,1,1547,3,1,159,2,1,0,0,0,0,1,5,4
"138",34,3,2,1,3,1547,3,1,199,3,1,0,0,1,0,0,5,3
"139",34,3,2,1,2,1547,3,1,444,4,1,0,0,0,1,0,5,2
"140",34,3,2,1,3,1547,3,1,280,5,1,0,0,1,0,0,5,1
"141",35,3,6,1,3,938,6,1,120,1,0,1,0,1,0,0,4,4
"142",35,3,6,1,1,938,6,1,139,2,0,1,0,0,0,1,4,3
"143",35,3,6,1,6,938,6,1,259,3,0,1,0,0,1,0,4,2
"144",35,3,6,1,1,938,6,1,100,4,0,1,0,0,0,1,4,1
"145",36,1,3,2,3,1498,3,1,279,1,0,1,0,0,1,0,4,4
"146",36,1,3,2,1,1498,3,1,179,2,0,1,0,1,0,0,4,3
"147",36,1,3,2,2,1498,3,1,280,3,0,1,0,0,0,1,4,2
"148",36,1,3,2,3,1498,3,1,299,4,0,1,0,0,1,0,4,1
"149",37,3,2,1,2,1834,3,1,179,1,1,0,0,0,1,0,7,7
"150",37,3,2,1,1,1834,3,1,140,2,1,0,0,0,0,1,7,6
"151",37,3,2,1,3,1834,3,1,299,3,1,0,0,1,0,0,7,5
"152",37,3,2,1,2,1834,3,1,379,4,1,0,0,0,1,0,7,4
"153",37,3,2,1,3,1834,3,1,119,5,1,0,0,1,0,0,7,3
"154",37,3,2,1,2,1834,3,1,200,6,1,0,0,0,1,0,7,2
"155",37,3,2,1,3,1834,3,1,99,7,1,0,0,1,0,0,7,1
"156",38,2,3,1,3,1521,3,1,239,1,0,1,0,0,1,0,4,4
"157",38,2,3,1,2,1521,3,1,338,2,0,1,0,1,0,0,4,3
"158",38,2,3,1,1,1521,3,1,239,3,0,1,0,0,0,1,4,2
"159",38,2,3,1,3,1521,3,1,402,4,0,1,0,0,1,0,4,1
"160",39,3,2,1,1,1409,2,1,99,1,0,1,0,0,0,1,4,4
"161",39,3,2,1,3,1409,2,1,219,2,0,1,0,1,0,0,4,3
"162",39,3,2,1,2,1409,2,1,376,3,0,1,0,0,1,0,4,2
"163",39,3,2,1,1,1409,2,1,199,4,0,1,0,0,0,1,4,1
"164",40,2,1,3,1,2056,2,1,119,1,1,0,0,0,1,0,7,7
"165",40,2,1,3,2,2056,2,1,259,2,1,0,0,1,0,0,7,6
"166",40,2,1,3,3,2056,2,1,298,3,1,0,0,0,0,1,7,5
"167",40,2,1,3,2,2056,2,1,259,4,1,0,0,1,0,0,7,4
"168",40,2,1,3,3,2056,2,1,159,5,1,0,0,0,0,1,7,3
"169",40,2,1,3,1,2056,2,1,179,6,1,0,0,0,1,0,7,2
"170",40,2,1,3,2,2056,2,1,158,7,1,0,0,1,0,0,7,1
"171",41,3,2,1,3,1639,1,1,140,1,0,0,1,1,0,0,6,6
"172",41,3,2,1,1,1639,1,1,159,2,0,0,1,0,0,1,6,5
"173",41,3,2,1,2,1639,1,1,299,3,0,0,1,0,1,0,6,4
"174",41,3,2,1,1,1639,1,1,319,4,0,0,1,0,0,1,6,3
"175",41,3,2,1,3,1639,1,1,299,5,0,0,1,1,0,0,6,2
"176",41,3,2,1,1,1639,1,1,100,6,0,0,1,0,0,1,6,1
"177",42,1,2,7,1,1336,7,1,99,1,0,0,1,1,0,0,4,4
"178",42,1,2,7,7,1336,7,1,179,2,0,0,1,0,0,1,4,3
"179",42,1,2,7,2,1336,7,1,259,3,0,0,1,0,1,0,4,2
"180",42,1,2,7,7,1336,7,1,320,4,0,0,1,0,0,1,4,1
"181",43,1,7,3,3,1045,7,1,139,1,0,1,0,0,0,1,4,4
"182",43,1,7,3,7,1045,7,1,158,2,0,1,0,0,1,0,4,3
"183",43,1,7,3,1,1045,7,1,299,3,0,1,0,1,0,0,4,2
"184",43,1,7,3,3,1045,7,1,139,4,0,1,0,0,0,1,4,1
"185",44,2,1,3,2,1460,2,1,160,1,1,0,0,1,0,0,4,4
"186",44,2,1,3,1,1460,2,1,218,2,1,0,0,0,1,0,4,3
"187",44,2,1,3,3,1460,2,1,359,3,1,0,0,0,0,1,4,2
"188",44,2,1,3,2,1460,2,1,260,4,1,0,0,1,0,0,4,1
"189",45,1,6,3,3,892,6,1,220,1,0,1,0,0,0,1,3,3
"190",45,1,6,3,1,892,6,1,200,2,0,1,0,1,0,0,3,2
"191",45,1,6,3,3,892,6,1,159,3,0,1,0,0,0,1,3,1
"192",46,2,1,7,1,887,7,1,159,1,0,0,1,0,1,0,3,3
"193",46,2,1,7,7,887,7,1,299,2,0,0,1,0,0,1,3,2
"194",46,2,1,7,2,887,7,1,119,3,0,0,1,1,0,0,3,1
"195",47,1,3,6,3,1438,6,1,179,1,0,0,1,0,1,0,4,4
"196",47,1,3,6,1,1438,6,1,258,2,0,0,1,1,0,0,4,3
"197",47,1,3,6,6,1438,6,1,159,3,0,0,1,0,0,1,4,2
"198",47,1,3,6,3,1438,6,1,320,4,0,0,1,0,1,0,4,1
"199",48,1,3,2,3,908,2,1,140,1,0,0,1,0,1,0,3,3
"200",48,1,3,2,2,908,2,1,239,2,0,0,1,0,0,1,3,2
"201",48,1,3,2,1,908,2,1,119,3,0,0,1,1,0,0,3,1
"202",49,3,1,2,1,1207,2,1,200,1,0,0,1,0,1,0,4,4
"203",49,3,1,2,2,1207,2,1,179,2,0,0,1,0,0,1,4,3
"204",49,3,1,2,3,1207,2,1,398,3,0,0,1,1,0,0,4,2
"205",49,3,1,2,1,1207,2,1,140,4,0,0,1,0,1,0,4,1
"206",50,3,6,1,6,1116,6,1,298,1,0,1,0,0,1,0,3,3
"207",50,3,6,1,1,1116,6,1,238,2,0,1,0,0,0,1,3,2
"208",50,3,6,1,6,1116,6,1,319,3,0,1,0,0,1,0,3,1
"209",51,7,2,1,1,1315,7,1,179,1,1,0,0,0,0,1,4,4
"210",51,7,2,1,7,1315,7,1,120,2,1,0,0,1,0,0,4,3
"211",51,7,2,1,2,1315,7,1,239,3,1,0,0,0,1,0,4,2
"212",51,7,2,1,7,1315,7,1,279,4,1,0,0,1,0,0,4,1
"213",52,1,2,3,2,1231,3,1,239,1,0,0,1,0,1,0,3,3
"214",52,1,2,3,3,1231,3,1,279,2,0,0,1,0,0,1,3,2
"215",52,1,2,3,2,1231,3,1,479,3,0,0,1,0,1,0,3,1
"216",53,1,3,2,3,1246,2,1,158,1,0,0,1,0,1,0,4,4
"217",53,1,3,2,2,1246,2,1,219,2,0,0,1,0,0,1,4,3
"218",53,1,3,2,1,1246,2,1,199,3,0,0,1,1,0,0,4,2
"219",53,1,3,2,3,1246,2,1,359,4,0,0,1,0,1,0,4,1
"220",54,3,1,2,1,1005,2,1,139,1,0,0,1,0,1,0,4,4
"221",54,3,1,2,2,1005,2,1,239,2,0,0,1,0,0,1,4,3
"222",54,3,1,2,3,1005,2,1,219,3,0,0,1,1,0,0,4,2
"223",54,3,1,2,1,1005,2,1,100,4,0,0,1,0,1,0,4,1
"224",55,3,1,2,1,1100,2,1,180,1,0,0,1,0,1,0,3,3
"225",55,3,1,2,3,1100,2,1,199,2,0,0,1,1,0,0,3,2
"226",55,3,1,2,2,1100,2,1,439,3,0,0,1,0,0,1,3,1
"227",56,1,3,6,6,779,6,1,219,1,0,0,1,0,0,1,2,2
"228",56,1,3,6,1,779,6,1,160,2,0,0,1,1,0,0,2,1
"229",57,1,2,3,3,1935,2,1,219,1,0,1,0,0,0,1,5,5
"230",57,1,2,3,2,1935,2,1,179,2,0,1,0,0,1,0,5,4
"231",57,1,2,3,1,1935,2,1,379,3,0,1,0,1,0,0,5,3
"232",57,1,2,3,3,1935,2,1,259,4,0,1,0,0,0,1,5,2
"233",57,1,2,3,2,1935,2,1,339,5,0,1,0,0,1,0,5,1
"234",58,7,3,1,1,946,7,1,120,1,1,0,0,0,0,1,2,2
"235",58,7,3,1,7,946,7,1,458,2,1,0,0,1,0,0,2,1
"236",59,3,1,6,6,776,6,1,239,1,0,0,1,0,0,1,1,1
"237",60,1,3,2,3,1458,3,1,220,1,0,1,0,0,1,0,4,4
"238",60,1,3,2,2,1458,3,1,199,2,0,1,0,0,0,1,4,3
"239",60,1,3,2,1,1458,3,1,199,3,0,1,0,1,0,0,4,2
"240",60,1,3,2,3,1458,3,1,579,4,0,1,0,0,1,0,4,1
"241",61,1,3,2,2,1411,3,1,179,1,0,1,0,0,0,1,5,5
"242",61,1,3,2,1,1411,3,1,199,2,0,1,0,1,0,0,5,4
"243",61,1,3,2,2,1411,3,1,199,3,0,1,0,0,0,1,5,3
"244",61,1,3,2,3,1411,3,1,219,4,0,1,0,0,1,0,5,2
"245",61,1,3,2,2,1411,3,1,239,5,0,1,0,0,0,1,5,1
"246",62,3,1,2,2,971,2,1,299,1,0,0,1,0,0,1,2,2
"247",62,3,1,2,3,971,2,1,418,2,0,0,1,1,0,0,2,1
"248",63,2,1,3,1,1182,3,1,179,1,0,0,1,0,1,0,4,4
"249",63,2,1,3,3,1182,3,1,199,2,0,0,1,0,0,1,4,3
"250",63,2,1,3,2,1182,3,1,319,3,0,0,1,1,0,0,4,2
"251",63,2,1,3,3,1182,3,1,159,4,0,0,1,0,0,1,4,1
"252",64,3,1,2,2,1401,2,1,199,1,0,0,1,0,0,1,4,4
"253",64,3,1,2,3,1401,2,1,299,2,0,0,1,1,0,0,4,3
"254",64,3,1,2,1,1401,2,1,259,3,0,0,1,0,1,0,4,2
"255",64,3,1,2,2,1401,2,1,321,4,0,0,1,0,0,1,4,1
"256",65,7,3,1,1,984,7,1,179,1,1,0,0,0,0,1,4,4
"257",65,7,3,1,7,984,7,1,298,2,1,0,0,1,0,0,4,3
"258",65,7,3,1,3,984,7,1,179,3,1,0,0,0,1,0,4,2
"259",65,7,3,1,7,984,7,1,41,4,1,0,0,1,0,0,4,1
"260",66,7,2,3,2,989,7,1,158,1,1,0,0,0,1,0,4,4
"261",66,7,2,3,7,989,7,1,279,2,1,0,0,1,0,0,4,3
"262",66,7,2,3,3,989,7,1,139,3,1,0,0,0,0,1,4,2
"263",66,7,2,3,2,989,7,1,120,4,1,0,0,0,1,0,4,1
"264",67,1,2,3,1,1297,3,1,119,1,0,0,1,1,0,0,4,4
"265",67,1,2,3,3,1297,3,1,259,2,0,0,1,0,0,1,4,3
"266",67,1,2,3,2,1297,3,1,398,3,0,0,1,0,1,0,4,2
"267",67,1,2,3,3,1297,3,1,121,4,0,0,1,0,0,1,4,1
"268",68,1,2,3,3,1312,3,1,398,1,0,0,1,0,0,1,4,4
"269",68,1,2,3,2,1312,3,1,239,2,0,0,1,0,1,0,4,3
"270",68,1,2,3,1,1312,3,1,239,3,0,0,1,1,0,0,4,2
"271",68,1,2,3,3,1312,3,1,119,4,0,0,1,0,0,1,4,1
"272",69,1,2,6,6,776,6,1,259,1,0,0,1,0,0,1,2,2
"273",69,1,2,6,1,776,6,1,140,2,0,0,1,1,0,0,2,1
"274",70,1,3,2,2,1297,3,1,160,1,0,1,0,0,0,1,3,3
"275",70,1,3,2,1,1297,3,1,219,2,0,1,0,1,0,0,3,2
"276",70,1,3,2,3,1297,3,1,518,3,0,1,0,0,1,0,3,1
"277",71,3,1,2,1,719,2,1,120,1,0,0,1,0,1,0,3,3
"278",71,3,1,2,2,719,2,1,258,2,0,0,1,0,0,1,3,2
"279",71,3,1,2,3,719,2,1,102,3,0,0,1,1,0,0,3,1
"280",72,1,3,2,1,1230,3,1,159,1,0,1,0,1,0,0,4,4
"281",72,1,3,2,3,1230,3,1,259,2,0,1,0,0,1,0,4,3
"282",72,1,3,2,2,1230,3,1,239,3,0,1,0,0,0,1,4,2
"283",72,1,3,2,3,1230,3,1,120,4,0,1,0,0,1,0,4,1
"284",73,3,7,1,7,821,7,1,159,1,0,1,0,0,1,0,3,3
"285",73,3,7,1,1,821,7,1,239,2,0,1,0,0,0,1,3,2
"286",73,3,7,1,3,821,7,1,139,3,0,1,0,1,0,0,3,1
"287",74,3,2,1,1,1521,3,1,199,1,1,0,0,0,0,1,5,5
"288",74,3,2,1,2,1521,3,1,239,2,1,0,0,0,1,0,5,4
"289",74,3,2,1,3,1521,3,1,220,3,1,0,0,1,0,0,5,3
"290",74,3,2,1,1,1521,3,1,259,4,1,0,0,0,0,1,5,2
"291",74,3,2,1,2,1521,3,1,120,5,1,0,0,0,1,0,5,1
"292",75,3,1,2,2,1347,3,1,159,1,1,0,0,0,0,1,4,4
"293",75,3,1,2,3,1347,3,1,240,2,1,0,0,1,0,0,4,3
"294",75,3,1,2,1,1347,3,1,319,3,1,0,0,0,1,0,4,2
"295",75,3,1,2,3,1347,3,1,220,4,1,0,0,1,0,0,4,1
"296",76,1,3,2,2,778,2,1,239,1,0,0,1,0,0,1,2,2
"297",76,1,3,2,3,778,2,1,263,2,0,0,1,0,1,0,2,1
"298",77,3,1,2,2,1239,3,1,139,1,1,0,0,0,0,1,4,4
"299",77,3,1,2,3,1239,3,1,239,2,1,0,0,1,0,0,4,3
"300",77,3,1,2,1,1239,3,1,339,3,1,0,0,0,1,0,4,2
"301",77,3,1,2,3,1239,3,1,82,4,1,0,0,1,0,0,4,1
"302",78,1,3,6,3,1031,6,1,199,1,0,0,1,0,1,0,2,2
"303",78,1,3,6,6,1031,6,1,577,2,0,0,1,0,0,1,2,1
"304",79,2,1,3,2,1521,3,1,158,1,0,0,1,1,0,0,4,4
"305",79,2,1,3,3,1521,3,1,139,2,0,0,1,0,0,1,4,3
"306",79,2,1,3,1,1521,3,1,280,3,0,0,1,0,1,0,4,2
"307",79,2,1,3,3,1521,3,1,422,4,0,0,1,0,0,1,4,1
"308",80,1,7,3,3,1114,7,1,139,1,0,1,0,0,0,1,2,2
"309",80,1,7,3,7,1114,7,1,398,2,0,1,0,0,1,0,2,1
"310",81,1,3,6,3,1059,6,1,199,1,0,0,1,0,1,0,2,2
"311",81,1,3,6,6,1059,6,1,501,2,0,0,1,0,0,1,2,1
"312",82,3,1,2,1,1501,3,1,140,1,1,0,0,0,1,0,5,5
"313",82,3,1,2,2,1501,3,1,279,2,1,0,0,0,0,1,5,4
"314",82,3,1,2,3,1501,3,1,319,3,1,0,0,1,0,0,5,3
"315",82,3,1,2,1,1501,3,1,200,4,1,0,0,0,1,0,5,2
"316",82,3,1,2,3,1501,3,1,201,5,1,0,0,1,0,0,5,1
"317",83,2,1,3,1,1555,3,1,200,1,0,0,1,0,1,0,5,5
"318",83,2,1,3,3,1555,3,1,238,2,0,0,1,0,0,1,5,4
"319",83,2,1,3,2,1555,3,1,199,3,0,0,1,1,0,0,5,3
"320",83,2,1,3,1,1555,3,1,439,4,0,0,1,0,1,0,5,2
"321",83,2,1,3,3,1555,3,1,61,5,0,0,1,0,0,1,5,1
"322",84,3,1,2,2,1289,3,1,179,1,1,0,0,0,0,1,2,2
"323",84,3,1,2,3,1289,3,1,658,2,1,0,0,1,0,0,2,1
"324",85,6,7,3,7,835,7,1,200,1,0,1,0,0,1,0,3,3
"325",85,6,7,3,3,835,7,1,258,2,0,1,0,0,0,1,3,2
"326",85,6,7,3,7,835,7,1,100,3,0,1,0,0,1,0,3,1
"327",86,3,7,1,1,810,7,1,219,1,0,1,0,0,0,1,2,2
"328",86,3,7,1,3,810,7,1,199,2,0,1,0,1,0,0,2,1
"329",87,3,1,2,1,1089,2,1,140,1,0,0,1,0,1,0,3,3
"330",87,3,1,2,2,1089,2,1,219,2,0,0,1,0,0,1,3,2
"331",87,3,1,2,3,1089,2,1,438,3,0,0,1,1,0,0,3,1
"332",88,7,1,3,3,1101,3,1,199,1,0,0,1,0,0,1,4,4
"333",88,7,1,3,7,1101,3,1,239,2,0,0,1,1,0,0,4,3
"334",88,7,1,3,1,1101,3,1,259,3,0,0,1,0,1,0,4,2
"335",88,7,1,3,3,1101,3,1,82,4,0,0,1,0,0,1,4,1
"336",89,1,3,7,3,788,7,1,119,1,0,0,1,0,1,0,2,2
"337",89,1,3,7,7,788,7,1,418,2,0,0,1,0,0,1,2,1
"338",90,1,2,3,3,706,3,1,259,1,0,0,1,0,0,1,2,2
"339",90,1,2,3,1,706,3,1,60,2,0,0,1,1,0,0,2,1
"340",91,1,3,7,3,748,7,1,79,1,0,0,1,0,1,0,3,3
"341",91,1,3,7,7,748,7,1,218,2,0,0,1,0,0,1,3,2
"342",91,1,3,7,1,748,7,1,159,3,0,0,1,1,0,0,3,1
"343",92,1,3,2,2,1246,3,1,180,1,0,1,0,0,0,1,4,4
"344",92,1,3,2,3,1246,3,1,179,2,0,1,0,0,1,0,4,3
"345",92,1,3,2,1,1246,3,1,339,3,0,1,0,1,0,0,4,2
"346",92,1,3,2,3,1246,3,1,120,4,0,1,0,0,1,0,4,1
"347",93,1,3,2,2,974,2,1,358,1,0,0,1,0,0,1,3,3
