,subject,trial,choice,rt,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2
84,0,84,1,835,6,7,3,0.0,0.5376344086021505,0.4623655913978494
86,0,86,2,1089,3,1,2,0.5495608531994981,0.17565872020075282,0.27478042659974905
88,0,88,2,788,1,3,7,0.0,0.22160148975791435,0.7783985102420856
90,0,90,2,748,1,3,7,0.34868421052631576,0.17324561403508773,0.4780701754385965
92,0,92,2,974,1,3,2,0.03048780487804878,0.4237804878048781,0.5457317073170732
94,0,94,0,1115,7,2,3,0.3751568381430364,0.24968632371392724,0.3751568381430364
96,0,96,0,1633,3,1,2,0.4415458937198067,0.13526570048309178,0.42318840579710143
98,0,98,2,779,3,1,7,0.2887828162291169,0.0,0.7112171837708829
0,1,0,0,2925,5,1,3,0.5221518987341772,0.2974683544303797,0.18037974683544306
2,1,2,0,1837,8,5,2,0.5820584144645341,0.19541029207232266,0.22253129346314326
4,1,4,0,2993,4,3,2,0.3481814466693911,0.4642419288925215,0.18757662443808745
6,1,6,1,1634,1,6,4,0.1967078189300412,0.3769547325102881,0.4263374485596708
8,1,8,1,1251,2,6,4,0.4627594627594628,0.21978021978021975,0.31746031746031744
10,1,10,2,6544,2,1,5,0.18213176957571572,0.3604691272852708,0.4573991031390134
12,1,12,1,1577,2,6,1,0.2769991755976917,0.4427040395713108,0.2802967848309975
14,1,14,0,2421,6,5,1,0.438300051203277,0.3778801843317972,0.18381976446492576
16,1,16,1,3724,5,6,4,0.8079900898110871,0.11861257355218335,0.07339733663672962
18,1,18,2,2486,6,2,8,0.5813047711781889,0.11684518013631938,0.3018500486854917
20,1,20,2,3523,3,4,5,0.3895224518888097,0.2202423378474697,0.3902352102637206
22,1,22,1,5013,1,6,4,0.2487954445904512,0.3232588699080158,0.42794568550153306
24,1,24,0,1823,4,1,2,0.32470414201183434,0.4541420118343195,0.22115384615384612
26,1,26,2,1347,3,1,5,0.2764140875133405,0.31910352187833513,0.4044823906083244
28,1,28,0,1323,4,2,3,0.2609170305676856,0.2390829694323144,0.5
30,1,30,1,1750,6,2,5,0.20855213803450864,0.4786196549137284,0.3128282070517629
32,1,32,2,1533,2,1,6,0.29498767460969605,0.2300739523418241,0.4749383730484799
34,1,34,1,2470,4,5,1,0.3396889111891621,0.29001505268439537,0.3702960361264426
36,1,36,0,1280,8,1,2,0.32461873638344224,0.32788671023965144,0.3474945533769063
38,1,38,0,2580,2,5,6,0.2544094067343666,0.4901122394441475,0.2554783538214858
40,1,40,0,1256,3,2,4,0.4128540305010893,0.2396514161220044,0.3474945533769063
42,1,42,1,1718,2,4,5,0.15220949263502456,0.4075286415711948,0.4402618657937807
44,1,44,1,2442,1,3,5,0.1684053651266766,0.39592647789369106,0.4356681569796324
46,1,46,2,822,2,3,8,0.30828516377649323,0.1926782273603083,0.4990366088631985
48,1,48,0,1689,8,6,3,0.5374251497005988,0.19386227544910176,0.2687125748502994
50,1,50,0,3253,3,4,5,0.5148401826484018,0.07572298325722983,0.4094368340943683
52,1,52,2,1090,5,2,6,0.17587939698492466,0.2751256281407035,0.5489949748743719
54,1,54,1,2188,3,2,1,0.2700135685210312,0.55359565807327,0.17639077340569878
56,1,56,1,4806,2,6,1,0.28482328482328484,0.2905405405405405,0.42463617463617465
58,1,58,2,2745,3,2,1,0.2491864249186425,0.2408182240818224,0.5099953509995351
60,1,60,0,3373,3,1,5,0.3820146392471244,0.3816660857441617,0.23631927500871386
62,1,62,2,956,4,5,10,0.4070631970260223,0.0,0.5929368029739777
64,1,64,0,2449,5,3,2,0.4055666003976143,0.4657057654075546,0.12872763419483102
66,1,66,1,1636,1,10,2,0.2359932088285229,0.4083191850594228,0.3556876061120544
68,1,68,0,1590,6,4,5,0.5497907949790795,0.2,0.2502092050209205
70,1,70,1,1712,5,6,3,0.33307984790874523,0.485171102661597,0.1817490494296578
72,1,72,2,3151,1,5,6,0.17554618627826754,0.22154082023763894,0.6029129934840936
74,1,74,2,2532,4,6,5,0.08858267716535433,0.5684055118110236,0.34301181102362205
76,1,76,0,1626,5,2,4,0.28987854251012146,0.2582995951417004,0.4518218623481781
78,1,78,2,1443,1,3,4,0.17294685990338166,0.26956521739130435,0.5574879227053139
80,1,80,1,1521,2,6,5,0.2356164383561644,0.4557077625570776,0.308675799086758
82,1,82,0,1473,2,4,5,0.6077199281867145,0.12477558348294435,0.26750448833034113
84,1,84,0,1842,5,4,3,0.4772200772200772,0.21544401544401545,0.3073359073359073
86,1,86,1,1566,1,6,2,0.33816013628620095,0.2879045996592845,0.3739352640545145
88,1,88,2,925,3,4,8,0.2420091324200913,0.0,0.7579908675799086
90,1,90,2,1649,6,2,3,0.2701195219123506,0.5553784860557769,0.1745019920318725
92,1,92,2,955,6,4,10,0.0,0.5865051903114187,0.4134948096885813
94,1,94,0,2034,2,1,3,0.3814925373134329,0.23761194029850746,0.3808955223880597
96,1,96,2,2560,2,3,4,0.1132701421800948,0.5379146919431279,0.34881516587677724
98,1,98,1,1297,1,6,2,0.3939393939393939,0.30303030303030304,0.30303030303030304
0,2,0,1,2933,5,3,2,0.2651201325600663,0.14871582435791214,0.5861640430820215
2,2,2,2,1469,2,3,5,0.2193877551020408,0.32227891156462585,0.4583333333333333
4,2,4,0,1910,4,2,3,0.3951841359773371,0.3364022662889519,0.26841359773371104
6,2,6,1,2662,3,4,2,0.019569471624266144,0.8498043052837574,0.13062622309197652
8,2,8,0,1911,5,1,2,0.516309412861137,0.22273998136067105,0.260950605778192
10,2,10,1,2051,3,4,2,0.2778119237861094,0.379840196681008,0.3423478795328826
12,2,12,1,2511,3,4,5,0.21539183481933366,0.5415297982167996,0.24307836696386675
14,2,14,0,846,4,3,2,0.5616740088105727,0.0,0.4383259911894273
16,2,16,1,997,3,5,2,0.7183098591549296,0.0,0.28169014084507044
18,2,18,1,1458,3,5,2,0.0,0.0,1.0
20,2,20,2,1764,2,3,1,0.7071078431372549,0.2928921568627451,0.0
22,2,22,1,1413,3,4,1,0.0,1.0,0.0
24,2,24,0,1796,4,2,3,0.8333333333333334,0.0,0.16666666666666666
26,2,26,1,1139,3,4,2,0.0,1.0,0.0
28,2,28,2,2038,3,2,4,0.0,1.0,0.0
30,2,30,0,3584,3,2,4,0.3720180528691167,0.4609929078014184,0.16698903932946485
32,2,32,0,1537,4,2,3,0.0,0.0,1.0
34,2,34,0,1278,2,3,4,0.5365418894830659,0.0,0.463458110516934
36,2,36,0,2592,4,3,1,0.0,0.0,1.0
38,2,38,1,2352,3,2,4,0.3994974874371859,0.6005025125628141,0.0
40,2,40,2,3253,3,1,2,0.24157660521296884,0.6338207247298157,0.12460267005721552
42,2,42,0,983,4,3,2,1.0,0.0,0.0
44,2,44,2,838,3,2,5,0.0,0.0,1.0
46,2,46,2,986,1,2,3,0.0,0.0,1.0
48,2,48,1,2613,3,4,2,0.1978984238178634,0.5592527729130181,0.2428488032691185
50,2,50,0,2993,4,2,3,0.0,0.0,1.0
52,2,52,0,1604,4,1,3,0.0,0.4881964117091596,0.5118035882908404
54,2,54,1,3205,4,3,2,0.0,0.0,1.0
56,2,56,2,1671,4,3,5,0.3902777777777778,0.0,0.6097222222222223
58,2,58,2,2211,1,2,4,0.4849715678310317,0.15922014622258324,0.35580828594638503
60,2,60,0,1261,4,2,1,0.5323529411764706,0.0,0.4676470588235294
62,2,62,0,1703,4,3,2,0.0,0.799554565701559,0.20044543429844094
64,2,64,2,1716,3,4,5,0.0,0.0,1.0
66,2,66,0,2051,4,2,3,1.0,0.0,0.0
68,2,68,0,1441,1,3,2,0.3333333333333333,0.0,0.6666666666666666
70,2,70,0,1902,4,1,2,0.6443701226309922,0.0,0.3556298773690078
72,2,72,0,4153,4,2,1,0.9075538587401144,0.00545404963185165,0.08699209162803381
0,3,0,2,2294,1,3,2,0.2853483606557377,0.2756147540983607,0.4390368852459016
2,3,2,1,5797,1,2,5,0.18667201926936972,0.5078281814532316,0.3054997992773986
4,3,4,2,4387,1,3,2,0.4171682805548286,0.3800052342318765,0.20282648521329494
6,3,6,1,2087,1,5,2,0.2319461444308445,0.5122399020807834,0.2558139534883721
8,3,8,1,1705,1,4,2,0.2571633237822349,0.5,0.24283667621776506
10,3,10,0,1457,5,7,2,0.4563636363636364,0.2536363636363637,0.29
12,3,12,0,1779,7,5,2,0.2777777777777778,0.3387345679012346,0.3834876543209877
14,3,14,2,1012,3,1,10,0.21108179419525067,0.0,0.7889182058047494
16,3,16,2,1368,6,3,4,0.2751865671641791,0.20522388059701493,0.519589552238806
18,3,18,2,843,1,3,10,0.2871900826446281,0.045454545454545456,0.6673553719008265
20,3,20,1,2572,1,5,7,0.2850958565244279,0.5293753865182437,0.1855287569573284
22,3,22,1,1621,2,6,3,0.1610032362459547,0.6618122977346278,0.17718446601941748
24,3,24,0,1767,3,1,2,0.3229461756373937,0.3519830028328612,0.32507082152974504
26,3,26,1,1971,1,7,4,0.2536554354736173,0.3293070565797839,0.4170375079465988
28,3,28,2,1272,1,2,3,0.16376663254861826,0.2241555783009212,0.6120777891504606
30,3,30,1,2192,1,2,5,0.2314385150812065,0.5191415313225058,0.2494199535962877
32,3,32,0,1488,4,2,1,0.3454861111111111,0.19010416666666666,0.4644097222222222
34,3,34,2,2819,3,1,5,0.3456405693950178,0.1948398576512456,0.4595195729537366
36,3,36,1,1197,3,4,1,0.2874251497005988,0.7125748502994012,0.0
38,3,38,1,890,3,4,1,0.3687150837988827,0.6312849162011173,0.0
40,3,40,0,988,10,2,1,0.8085106382978723,0.1914893617021277,0.0
42,3,42,1,1415,5,10,2,0.2693050193050193,0.4227799227799228,0.3079150579150579
44,3,44,2,1497,3,1,9,0.20254237288135596,0.22033898305084745,0.5771186440677966
46,3,46,1,1387,1,5,2,0.1633211678832117,0.4927007299270073,0.34397810218978103
48,3,48,2,1699,3,1,2,0.20575221238938046,0.33849557522123896,0.4557522123893805
50,3,50,1,1789,3,5,7,0.2133142448103078,0.5869720830350752,0.19971367215461705
52,3,52,0,1068,7,3,1,0.7503136762860728,0.24968632371392724,0.0
54,3,54,1,1271,1,3,2,0.1737704918032787,0.4349726775956284,0.3912568306010929
56,3,56,0,687,10,1,2,1.0,0.0,0.0
58,3,58,0,850,3,2,1,0.6293995859213249,0.3291925465838509,0.041407867494824016
60,3,60,0,1069,3,2,1,0.2868525896414343,0.3426294820717131,0.3705179282868526
62,3,62,2,1077,3,5,7,0.2157394843962008,0.0,0.7842605156037992
64,3,64,0,1925,3,2,1,0.2891089108910891,0.4211221122112211,0.28976897689768977
66,3,66,1,926,1,6,3,0.3705772811918063,0.2960893854748604,0.3333333333333333
68,3,68,0,822,10,5,3,0.6427289048473968,0.35727109515260325,0.0
70,3,70,1,1233,2,9,5,0.15056461731493098,0.8494353826850691,0.0
72,3,72,2,2815,3,1,5,0.3505154639175257,0.2654639175257732,0.38402061855670105
74,3,74,1,1282,1,3,2,0.12167689161554192,0.65439672801636,0.22392638036809814
76,3,76,0,1249,3,6,1,0.532051282051282,0.19123931623931625,0.2767094017094017
78,3,78,0,743,4,2,3,0.5664488017429193,0.0,0.4335511982570806
80,3,80,1,1124,4,9,1,0.0,1.0,0.0
82,3,82,0,995,6,3,2,0.5326633165829145,0.2663316582914573,0.20100502512562812
84,3,84,2,632,3,1,10,0.3455056179775281,0.0,0.6544943820224719
86,3,86,2,1537,3,1,5,0.284805091487669,0.2060461416070008,0.5091487669053302
88,3,88,2,629,5,1,10,0.24390243902439024,0.0,0.7560975609756098
90,3,90,0,925,5,2,1,0.3867313915857605,0.2588996763754045,0.35436893203883496
92,3,92,2,961,1,7,3,0.2746585735963581,0.3626707132018209,0.3626707132018209
94,3,94,2,1120,2,1,9,0.36642156862745096,0.1948529411764706,0.4387254901960784
96,3,96,1,1724,1,2,4,0.1465863453815261,0.5468540829986613,0.30655957161981257
98,3,98,2,1924,2,1,3,0.18428005284015853,0.4597093791281374,0.3560105680317041
0,4,0,2,3302,2,6,4,0.2808088515833651,0.3166730255627623,0.40251812285387256
2,4,2,0,2302,5,2,6,0.4040619989310529,0.3185462319615179,0.2773917691074292
4,4,4,0,3067,6,5,1,0.2011686143572621,0.4657762938230384,0.3330550918196995
6,4,6,0,1422,8,4,5,0.4618357487922705,0.1536231884057971,0.3845410628019323
8,4,8,2,2643,3,6,4,0.21178637200736647,0.5133517495395948,0.2748618784530387
10,4,10,0,3060,3,5,2,0.5116981132075472,0.3158490566037736,0.17245283018867924
12,4,12,2,2049,6,2,8,0.5179455445544554,0.1113861386138614,0.3706683168316832
14,4,14,0,1842,5,3,2,0.4478203434610304,0.3414795244385733,0.21070013210039631
16,4,16,1,2010,2,5,3,0.525706940874036,0.16645244215938304,0.307840616966581
18,4,18,1,3422,6,5,2,0.19337571094011372,0.6199397791903647,0.1866845098695216
20,4,20,2,2345,6,2,8,0.2544,0.192,0.5536
22,4,22,1,1869,3,8,4,0.30250990752972257,0.3949801849405548,0.30250990752972257
24,4,24,2,1510,2,3,8,0.30430879712746856,0.37432675044883296,0.3213644524236984
26,4,26,0,1486,5,4,2,0.24559859154929575,0.4559859154929578,0.2984154929577465
28,4,28,2,2424,4,2,5,0.17332691381800674,0.3269138180067405,0.4997592681752528
30,4,30,1,4259,2,3,4,0.5653478854024556,0.2062755798090041,0.22837653478854025
32,4,32,0,1464,4,5,2,0.3013698630136986,0.3407534246575342,0.3578767123287671
34,4,34,2,1780,6,3,5,0.23937677053824366,0.4922096317280453,0.26841359773371104
36,4,36,2,1477,2,1,8,0.30416312659303313,0.40611724723874254,0.2897196261682243
38,4,38,1,1884,1,6,3,0.2945337620578778,0.4102893890675241,0.29517684887459805
40,4,40,0,1784,8,2,3,0.3338645418326693,0.2223107569721116,0.4438247011952191
42,4,42,0,1462,8,7,3,0.3965367965367965,0.36103896103896105,0.24242424242424246
44,4,44,0,3518,7,2,5,0.3530183727034121,0.1171259842519685,0.5298556430446194
46,4,46,0,1493,5,2,6,0.4026431718061674,0.2810572687224669,0.3162995594713656
48,4,48,1,4403,3,6,4,0.05309498399146211,0.5426894343649946,0.4042155816435432
50,4,50,2,1979,2,3,8,0.4157381615598886,0.1671309192200557,0.4171309192200557
52,4,52,0,2430,6,3,2,0.2374565325384997,0.3760556383507203,0.38648782911078
54,4,54,1,2017,4,7,2,0.5,0.3508771929824561,0.14912280701754385
56,4,56,0,1778,8,1,6,0.3181126331811263,0.3028919330289193,0.3789954337899543
58,4,58,1,2327,2,5,6,0.21644774414620216,0.490005711022273,0.2935465448315249
60,4,60,2,3532,1,3,2,0.32447691796745265,0.3706409830621056,0.3048820989704417
62,4,62,2,874,2,3,8,0.5645514223194749,0.0,0.4354485776805251
64,4,64,1,2112,6,8,5,0.15850673194614442,0.6217870257037944,0.2197062423500612
66,4,66,1,4224,2,6,5,0.14297994269340975,0.4171919770773639,0.4398280802292264
68,4,68,1,2086,2,6,1,0.34507042253521125,0.4532650448143406,0.20166453265044812
70,4,70,0,1414,6,1,3,0.4535984848484849,0.3579545454545455,0.1884469696969697
72,4,72,2,1626,3,2,7,0.2815686274509804,0.3749019607843137,0.34352941176470586
74,4,74,1,1380,2,8,6,0.40366088631984587,0.3285163776493256,0.2678227360308285
76,4,76,1,2103,3,6,1,0.6236138290932811,0.1689497716894977,0.20743639921722112
78,4,78,0,2650,3,2,6,0.5194497153700189,0.11195445920303604,0.36859582542694497
80,4,80,1,2369,6,5,2,0.21959273527793066,0.3406714364336819,0.4397358282883875
82,4,82,0,1577,5,2,3,0.17623282134195636,0.19320937752627326,0.6305578011317704
84,4,84,1,1532,6,8,1,0.300418410041841,0.33389121338912137,0.3656903765690376
86,4,86,0,2831,3,2,1,0.4394557823129252,0.3709750566893424,0.18956916099773244
88,4,88,2,1235,2,6,8,0.2727272727272727,0.2715909090909091,0.4556818181818182
90,4,90,0,2309,6,3,2,0.3270042194092827,0.3892405063291139,0.2837552742616033
92,4,92,2,1514,3,5,6,0.2302504816955684,0.34585741811175336,0.4238921001926782
94,4,94,1,2971,4,3,1,0.27062418158009605,0.5381929288520296,0.1911828895678743
96,4,96,1,2988,2,5,3,0.2706705059646236,0.32784862196626896,0.4014808720691074
98,4,98,0,1771,4,2,3,0.3342637822749477,0.319609211444522,0.34612700628053034
0,5,0,1,2858,2,3,1,0.0984251968503937,0.7253937007874016,0.17618110236220472
2,5,2,1,3624,3,6,2,0.11625647668393782,0.6389248704663213,0.2448186528497409
4,5,4,0,3416,6,4,5,0.4247564056297365,0.4240346445326597,0.15120894983760375
6,5,6,1,3654,1,6,3,0.1986710963455149,0.7086378737541528,0.09269102990033222
8,5,8,1,2517,5,3,1,0.4078947368421053,0.4273879142300195,0.16471734892787526
10,5,10,2,3055,3,6,1,0.30446708463949845,0.2817398119122257,0.4137931034482759
12,5,12,0,4359,3,2,6,0.5077611154959222,0.09944751381215468,0.3927913706919232
14,5,14,0,2678,6,3,1,0.5456100342075256,0.3295324971493729,0.12485746864310147
16,5,16,1,4012,3,5,1,0.3860398860398861,0.5569800569800569,0.056980056980056974
18,5,18,1,3695,5,6,1,0.17558254020347885,0.7197243190022974,0.10469314079422384
20,5,20,2,2274,1,3,5,0.2636514065085493,0.1643684500827358,0.5719801434087148
22,5,22,0,3345,3,2,1,0.22230483271375465,0.42936802973977695,0.3483271375464684
24,5,24,2,4518,5,1,6,0.411706837186424,0.3630103295622233,0.2252828332513527
26,5,26,0,2790,6,3,1,0.5709401709401709,0.3264957264957265,0.10256410256410256
28,5,28,2,2514,6,1,5,0.2143222506393862,0.3769820971867008,0.40869565217391307
30,5,30,2,2384,2,3,4,0.3265097236438076,0.214431934493347,0.4590583418628454
32,5,32,0,4040,6,5,2,0.6614612381483547,0.2219743446737312,0.1165644171779141
34,5,34,1,2287,6,4,1,0.4178610804851158,0.4614112458654906,0.1207276736493936
36,5,36,0,1956,6,5,1,0.5514800514800515,0.14092664092664092,0.3075933075933076
38,5,38,0,7768,3,1,5,0.5022389137657085,0.2649140546006067,0.2328470316336848
40,5,40,2,1972,2,1,3,0.1613308223477715,0.2749529190207156,0.5637162586315129
42,5,42,2,7494,1,6,3,0.15222173339199296,0.5348291538348732,0.31294911277313386
44,5,44,1,2648,1,6,2,0.13692377909630304,0.7448653582838887,0.1182108626198083
46,5,46,0,3349,3,1,5,0.5135593220338983,0.10135593220338984,0.38508474576271184
48,5,48,2,2662,3,5,6,0.3000455996352029,0.25444596443228457,0.44550843593251255
50,5,50,2,2030,2,1,3,0.23743718592964824,0.25,0.5125628140703518
52,5,52,1,4065,3,5,1,0.2089873807325331,0.6743613419513697,0.11665127731609724
54,5,54,1,2754,1,5,3,0.2617328519855596,0.2879061371841155,0.4503610108303249
56,5,56,0,2235,6,2,3,0.4724099099099099,0.35867117117117114,0.16891891891891891
58,5,58,0,2483,6,1,3,0.3937087772704211,0.3942161339421613,0.21207508878741754
60,5,60,1,2411,5,3,1,0.14300358790363915,0.6319835981547924,0.22501281394156844
62,5,62,1,2231,6,4,3,0.3820541760722347,0.4604966139954853,0.1574492099322799
64,5,64,0,1581,6,3,5,0.4658599827139153,0.2238547968885048,0.31028522039757994
66,5,66,0,1271,6,5,3,0.5011389521640092,0.1810933940774488,0.31776765375854216
68,5,68,1,1883,2,3,1,0.22033898305084745,0.5586701434159062,0.2209908735332464
70,5,70,0,1703,4,5,1,0.5805668016194332,0.14493927125506073,0.2744939271255061
72,5,72,1,2489,1,5,2,0.33368091762252344,0.3842544316996872,0.2820646506777893
74,5,74,0,3948,3,5,6,0.6451895043731778,0.2559766763848397,0.0988338192419825
76,5,76,1,2637,3,6,2,0.3881151346332405,0.5009285051067781,0.11095636025998144
78,5,78,0,3002,6,1,2,0.3519485737243873,0.2077139413419044,0.4403374849337083
80,5,80,1,1960,6,5,2,0.2588005215123859,0.28683181225554105,0.454367666232073
82,5,82,2,1375,3,1,6,0.28629856850715746,0.2034764826175869,0.5102249488752556
84,5,84,0,3032,3,5,6,0.6500392772977219,0.10919088766692853,0.2407698350353496
86,5,86,1,2158,3,1,2,0.2922769640479361,0.3355525965379494,0.37217043941411454
88,5,88,0,1989,2,1,3,0.41458026509572893,0.35198821796759944,0.2334315169366716
90,5,90,2,1730,3,1,4,0.25948406676783003,0.2412746585735964,0.4992412746585736
92,5,92,0,1393,6,5,1,0.7964684014869888,0.20353159851301114,0.0
94,5,94,1,3398,1,5,6,0.10072202166064982,0.7483754512635379,0.15090252707581228
96,5,96,0,3345,2,3,1,0.6111498257839721,0.2637630662020906,0.12508710801393727
98,5,98,0,3553,6,3,5,0.6557099288376821,0.08098949508641139,0.2633005760759065
0,6,0,2,4504,3,5,10,0.4533577214528351,0.23438724849751766,0.3122550300496472
2,6,2,0,2148,5,4,2,0.2858910891089109,0.5173267326732673,0.1967821782178218
4,6,4,0,3643,10,2,4,0.3413629160063392,0.1838351822503962,0.4748019017432646
6,6,6,1,4853,5,3,1,0.2872735717603344,0.4626103111936832,0.2501161170459824
8,6,8,0,5286,5,3,1,0.42526401299756295,0.29122664500406176,0.2835093419983753
10,6,10,1,5349,5,7,1,0.2839289629467222,0.3534312650734488,0.362639771979829
12,6,12,2,8313,4,2,5,0.4799623453469608,0.2869822485207101,0.2330554061323292
14,6,14,1,13521,5,10,7,0.31809643080776456,0.22315278647464,0.4587507827175955
16,6,16,2,10106,2,4,3,0.18228673608919746,0.3712001682970443,0.4465130956137583
18,6,18,2,5550,2,5,8,0.4235924932975872,0.3895059364228265,0.1869015702795864
20,6,20,2,4655,4,1,5,0.36572231327557947,0.4432217279325685,0.19105595879185205
22,6,22,0,9064,5,3,1,0.30820451843043994,0.5806183115338882,0.11117717003567182
24,6,24,0,8343,5,6,1,0.4620169401799894,0.4272101641079937,0.11077289571201694
26,6,26,0,7393,5,2,8,0.691557976207539,0.12283216282069655,0.1856098609717644
28,6,28,1,6714,2,9,7,0.21281683405069346,0.28200223178702377,0.5051809341622828
30,6,30,2,2558,4,5,3,0.4692542520715221,0.0,0.530745747928478
32,6,32,2,7526,2,5,6,0.5240869688787836,0.17550092368907205,0.3004121074321444
34,6,34,0,4426,5,7,1,0.3849664429530201,0.37449664429530205,0.24053691275167785
36,6,36,0,4031,5,2,3,0.22363636363636366,0.3806060606060606,0.39575757575757575
38,6,38,2,3494,1,4,10,0.23404947916666666,0.4153645833333333,0.3505859375
40,6,40,2,9606,4,5,3,0.4270976616231087,0.25126088950022923,0.3216414488766621
42,6,42,0,4713,5,3,2,0.34182001512477944,0.27123771111671285,0.3869422737585077
44,6,44,2,4179,4,1,8,0.32575547546437483,0.110618242306626,0.5636262822289991
46,6,46,0,16545,1,4,5,0.33805777838057777,0.3799674487996745,0.2819747728197477
48,6,48,2,3199,1,2,6,0.4105065666041276,0.3433395872420263,0.24615384615384614
50,6,50,1,5445,5,6,8,0.2085392370033604,0.512156552678395,0.2793042103182447
52,6,52,1,8164,5,2,7,0.33537093637121423,0.41567101972770215,0.24895804390108364
54,6,54,1,6466,5,4,3,0.3378779933578046,0.4771893025694808,0.18493270407271456
56,6,56,2,6364,5,4,3,0.3409591594644976,0.22284358583290967,0.4361972547025928
58,6,58,0,7471,3,2,1,0.5730796335447498,0.2809020436927413,0.1460183227625088
60,6,60,0,3884,7,3,5,0.386801099908341,0.5725633974946532,0.0406355025970058
62,6,62,2,7884,6,2,3,0.3590631929046563,0.2347560975609756,0.4061807095343681
64,6,64,2,3111,6,5,9,0.4994547437295529,0.20319883678662304,0.2973464194838241
66,6,66,0,6314,6,7,3,0.3686644140138716,0.25164502934376665,0.3796905566423617
68,6,68,2,5225,1,5,6,0.2816419612314709,0.4321550741163056,0.2862029646522235
70,6,70,0,6994,8,1,3,0.5783072309230256,0.1027990669776741,0.31889370209930024
72,6,72,2,5648,3,2,4,0.5409836065573771,0.22560499609679935,0.2334113973458236
74,6,74,1,2922,2,5,8,0.10486608826857788,0.6540927951716333,0.2410411165597888
76,6,76,1,4602,5,2,3,0.3092583616093068,0.4444983034415899,0.24624333494910325
78,6,78,0,6942,5,2,1,0.28499772001823986,0.4303085575315397,0.2846937224502204
80,6,80,2,2228,1,6,9,0.19281232173417,0.0,0.8071876782658299
